Prior mu: 0.0
Prior sigma: 1.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 0, style_loss: 3.1861, style_accu: 0.4785 pt_loss: 2.0099, recon_loss: 0.5016, kld: 8.7069, ind_loss: 0.5083, style_recon_loss: 0.3279, temp_o: 1.0000
INFO:root:dump samples to ./outputs//0cf5cca6-592f-41ac-b39a-a9e815e4a861.ctrl_style/samples//recon_samples_0.txt
INFO:root:iter: 1, style_loss: 3.2523, style_accu: 0.4766 pt_loss: 2.0369, recon_loss: 0.5275, kld: 8.6592, ind_loss: 0.5416, style_recon_loss: 0.3200, temp_o: 1.0000
INFO:root:iter: 2, style_loss: 3.0352, style_accu: 0.5078 pt_loss: 1.9416, recon_loss: 0.4593, kld: 8.6083, ind_loss: 0.5056, style_recon_loss: 0.2880, temp_o: 1.0000
INFO:root:iter: 3, style_loss: 3.0486, style_accu: 0.4883 pt_loss: 1.9951, recon_loss: 0.5025, kld: 8.5776, ind_loss: 0.4834, style_recon_loss: 0.2803, temp_o: 1.0000
INFO:root:iter: 4, style_loss: 2.9047, style_accu: 0.5273 pt_loss: 1.8864, recon_loss: 0.4258, kld: 8.5322, ind_loss: 0.4268, style_recon_loss: 0.2584, temp_o: 1.0000
INFO:root:iter: 5, style_loss: 2.9471, style_accu: 0.5039 pt_loss: 1.9040, recon_loss: 0.4378, kld: 8.5131, ind_loss: 0.4240, style_recon_loss: 0.2513, temp_o: 1.0000
INFO:root:iter: 6, style_loss: 2.8911, style_accu: 0.5059 pt_loss: 1.8332, recon_loss: 0.4005, kld: 8.4638, ind_loss: 0.4095, style_recon_loss: 0.2357, temp_o: 1.0000
INFO:root:iter: 7, style_loss: 2.8184, style_accu: 0.5098 pt_loss: 1.8504, recon_loss: 0.4104, kld: 8.4471, ind_loss: 0.3617, style_recon_loss: 0.2284, temp_o: 1.0000
INFO:root:iter: 8, style_loss: 2.7624, style_accu: 0.5332 pt_loss: 1.8351, recon_loss: 0.4095, kld: 8.3966, ind_loss: 0.3669, style_recon_loss: 0.2175, temp_o: 1.0000
INFO:root:iter: 9, style_loss: 2.8575, style_accu: 0.4961 pt_loss: 1.8267, recon_loss: 0.3951, kld: 8.3882, ind_loss: 0.3990, style_recon_loss: 0.2106, temp_o: 1.0000
INFO:root:iter: 10, style_loss: 2.6623, style_accu: 0.5410 pt_loss: 1.7577, recon_loss: 0.3508, kld: 8.3515, ind_loss: 0.3175, style_recon_loss: 0.2042, temp_o: 1.0000
INFO:root:iter: 11, style_loss: 2.6762, style_accu: 0.5391 pt_loss: 1.7852, recon_loss: 0.3690, kld: 8.3515, ind_loss: 0.3640, style_recon_loss: 0.1985, temp_o: 1.0000
INFO:root:iter: 12, style_loss: 2.5412, style_accu: 0.5859 pt_loss: 1.7175, recon_loss: 0.3184, kld: 8.3231, ind_loss: 0.3265, style_recon_loss: 0.1935, temp_o: 1.0000
INFO:root:iter: 13, style_loss: 2.6539, style_accu: 0.5273 pt_loss: 1.7463, recon_loss: 0.3387, kld: 8.3286, ind_loss: 0.3094, style_recon_loss: 0.1877, temp_o: 1.0000
