INFO:root:Prior distribution: normal
INFO:root:Prior mu: 0.0
INFO:root:Prior sigma: 1.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 0, style_loss: 1353.7489, style_accu: 0.4941 pt_loss: 1352.5302, recon_loss: 0.5550, kld: 14865.3672, ind_loss: 0.4982, style_recon_loss: 0.3607, temp_o: 1.0000
INFO:root:dump samples to ./outputs//45578047-85c4-46a2-acbd-c4cb95021a8e.ctrl_style/samples//recon_samples_0.txt
INFO:root:iter: 1, style_loss: 1313.6284, style_accu: 0.4941 pt_loss: 1312.4229, recon_loss: 0.5891, kld: 14424.1680, ind_loss: 0.5040, style_recon_loss: 0.3499, temp_o: 1.0000
INFO:root:iter: 2, style_loss: 1316.7601, style_accu: 0.5469 pt_loss: 1315.7424, recon_loss: 0.5568, kld: 14461.3809, ind_loss: 0.4691, style_recon_loss: 0.3558, temp_o: 1.0000
INFO:root:iter: 3, style_loss: 1234.2754, style_accu: 0.5020 pt_loss: 1233.1067, recon_loss: 0.5938, kld: 13551.3828, ind_loss: 0.5652, style_recon_loss: 0.3374, temp_o: 1.0000
INFO:root:iter: 4, style_loss: 1175.1801, style_accu: 0.5234 pt_loss: 1174.0022, recon_loss: 0.5936, kld: 12901.0869, ind_loss: 0.6360, style_recon_loss: 0.3437, temp_o: 1.0000
INFO:root:iter: 5, style_loss: 1150.3301, style_accu: 0.4688 pt_loss: 1149.1604, recon_loss: 0.5767, kld: 12628.3271, ind_loss: 0.4963, style_recon_loss: 0.3818, temp_o: 1.0000
INFO:root:iter: 6, style_loss: 1209.9464, style_accu: 0.4844 pt_loss: 1208.7373, recon_loss: 0.6507, kld: 13283.2402, ind_loss: 0.5176, style_recon_loss: 0.3823, temp_o: 1.0000
INFO:root:iter: 7, style_loss: 1104.8086, style_accu: 0.4941 pt_loss: 1103.6831, recon_loss: 0.6788, kld: 12127.1406, ind_loss: 0.4971, style_recon_loss: 0.3957, temp_o: 1.0000
INFO:root:iter: 8, style_loss: 1072.9390, style_accu: 0.5410 pt_loss: 1071.8765, recon_loss: 0.6299, kld: 11777.4453, ind_loss: 0.5395, style_recon_loss: 0.3219, temp_o: 1.0000
INFO:root:iter: 9, style_loss: 997.0363, style_accu: 0.4668 pt_loss: 995.7692, recon_loss: 0.7182, kld: 10938.8555, ind_loss: 0.6164, style_recon_loss: 0.3610, temp_o: 1.0000
INFO:root:iter: 10, style_loss: 962.3032, style_accu: 0.4785 pt_loss: 961.0566, recon_loss: 0.7305, kld: 10556.7637, ind_loss: 0.5834, style_recon_loss: 0.3407, temp_o: 1.0000
INFO:root:iter: 11, style_loss: 883.5148, style_accu: 0.5195 pt_loss: 882.3511, recon_loss: 0.5711, kld: 9692.6875, ind_loss: 0.6086, style_recon_loss: 0.3336, temp_o: 1.0000
INFO:root:iter: 12, style_loss: 809.5478, style_accu: 0.4707 pt_loss: 808.3008, recon_loss: 0.6833, kld: 8876.5117, ind_loss: 0.5679, style_recon_loss: 0.3327, temp_o: 1.0000
INFO:root:iter: 13, style_loss: 850.1888, style_accu: 0.5000 pt_loss: 849.0095, recon_loss: 0.7679, kld: 9323.9863, ind_loss: 0.5432, style_recon_loss: 0.3719, temp_o: 1.0000
INFO:root:iter: 14, style_loss: 789.0031, style_accu: 0.4688 pt_loss: 787.6688, recon_loss: 0.8160, kld: 8648.5811, ind_loss: 0.7459, style_recon_loss: 0.3960, temp_o: 1.0000
INFO:root:iter: 15, style_loss: 762.3054, style_accu: 0.5137 pt_loss: 761.1296, recon_loss: 0.7914, kld: 8356.7549, ind_loss: 0.6472, style_recon_loss: 0.4242, temp_o: 1.0000
INFO:root:iter: 16, style_loss: 686.8934, style_accu: 0.4980 pt_loss: 685.6335, recon_loss: 0.8285, kld: 7525.2671, ind_loss: 0.7037, style_recon_loss: 0.3647, temp_o: 1.0000
INFO:root:iter: 17, style_loss: 681.9913, style_accu: 0.5020 pt_loss: 680.8327, recon_loss: 0.8544, kld: 7472.5811, ind_loss: 0.6362, style_recon_loss: 0.3725, temp_o: 1.0000
INFO:root:iter: 18, style_loss: 619.4759, style_accu: 0.5195 pt_loss: 618.2726, recon_loss: 0.9001, kld: 6783.5132, ind_loss: 0.6899, style_recon_loss: 0.4071, temp_o: 1.0000
INFO:root:iter: 19, style_loss: 595.1899, style_accu: 0.5020 pt_loss: 593.9375, recon_loss: 0.8199, kld: 6517.0039, ind_loss: 0.7335, style_recon_loss: 0.3940, temp_o: 1.0000
INFO:root:iter: 20, style_loss: 558.2651, style_accu: 0.5039 pt_loss: 557.0300, recon_loss: 0.9028, kld: 6109.6680, ind_loss: 0.7001, style_recon_loss: 0.3906, temp_o: 1.0000
