INFO:root:Prior distribution: normal
INFO:root:Prior mu: 0.0
INFO:root:Prior sigma: 2.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 0, style_loss: 2326.3997, style_accu: 0.4785 pt_loss: 2325.2356, recon_loss: 0.5409, kld: 25566.3633, ind_loss: 0.5080, style_recon_loss: 0.3405, temp_o: 1.0000
INFO:root:dump samples to ./outputs//2e735956-6b65-4e03-9c42-2d6c2c0c1f55.ctrl_style/samples//recon_samples_0.txt
INFO:root:iter: 1, style_loss: 2295.0237, style_accu: 0.4863 pt_loss: 2293.8550, recon_loss: 0.6107, kld: 25220.4453, ind_loss: 0.5017, style_recon_loss: 0.3524, temp_o: 1.0000
INFO:root:iter: 2, style_loss: 2249.2007, style_accu: 0.4766 pt_loss: 2248.0601, recon_loss: 0.6209, kld: 24717.1562, ind_loss: 0.4442, style_recon_loss: 0.3334, temp_o: 1.0000
INFO:root:iter: 3, style_loss: 2109.4463, style_accu: 0.5020 pt_loss: 2108.2729, recon_loss: 0.6100, kld: 23178.9102, ind_loss: 0.6010, style_recon_loss: 0.3379, temp_o: 1.0000
INFO:root:iter: 4, style_loss: 2062.5798, style_accu: 0.4863 pt_loss: 2061.4404, recon_loss: 0.5516, kld: 22664.5742, ind_loss: 0.5260, style_recon_loss: 0.3563, temp_o: 1.0000
INFO:root:iter: 5, style_loss: 1983.0804, style_accu: 0.4922 pt_loss: 1981.9479, recon_loss: 0.5487, kld: 21789.6484, ind_loss: 0.5142, style_recon_loss: 0.3354, temp_o: 1.0000
INFO:root:iter: 6, style_loss: 1911.2719, style_accu: 0.4961 pt_loss: 1910.0992, recon_loss: 0.6670, kld: 20998.3242, ind_loss: 0.5263, style_recon_loss: 0.3650, temp_o: 1.0000
INFO:root:iter: 7, style_loss: 1854.3611, style_accu: 0.4863 pt_loss: 1853.1459, recon_loss: 0.6132, kld: 20372.4688, ind_loss: 0.5543, style_recon_loss: 0.3488, temp_o: 1.0000
INFO:root:iter: 8, style_loss: 1769.4066, style_accu: 0.4805 pt_loss: 1768.2043, recon_loss: 0.6884, kld: 19436.8398, ind_loss: 0.5506, style_recon_loss: 0.3671, temp_o: 1.0000
INFO:root:iter: 9, style_loss: 1628.6405, style_accu: 0.5059 pt_loss: 1627.4868, recon_loss: 0.6621, kld: 17889.2734, ind_loss: 0.6222, style_recon_loss: 0.3594, temp_o: 1.0000
INFO:root:iter: 10, style_loss: 1584.1163, style_accu: 0.5039 pt_loss: 1582.9766, recon_loss: 0.6377, kld: 17399.5547, ind_loss: 0.6133, style_recon_loss: 0.3113, temp_o: 1.0000
INFO:root:iter: 11, style_loss: 1560.2471, style_accu: 0.5000 pt_loss: 1559.0731, recon_loss: 0.6666, kld: 17136.9922, ind_loss: 0.6134, style_recon_loss: 0.3305, temp_o: 1.0000
INFO:root:iter: 12, style_loss: 1486.0209, style_accu: 0.5078 pt_loss: 1484.8135, recon_loss: 0.6838, kld: 16319.2051, ind_loss: 0.6237, style_recon_loss: 0.3631, temp_o: 1.0000
INFO:root:iter: 13, style_loss: 1397.7267, style_accu: 0.5098 pt_loss: 1396.5304, recon_loss: 0.6941, kld: 15347.9453, ind_loss: 0.6695, style_recon_loss: 0.3445, temp_o: 1.0000
INFO:root:iter: 14, style_loss: 1315.3068, style_accu: 0.4785 pt_loss: 1314.0732, recon_loss: 0.7588, kld: 14439.6240, ind_loss: 0.6485, style_recon_loss: 0.3655, temp_o: 1.0000
